Suchbegriff;Kategorie
stadt kleve;1.1 Zuschuss
lvr;1.1 Zuschuss
landschaftsverband;1.1 Zuschuss
aok;2.1.1 pädagogisches Personal
barmer;2.1.1 pädagogisches Personal
kkh;2.1.1 pädagogisches Personal
knappschaft;2.1.1 pädagogisches Personal
vblu;2.1.1 pädagogisches Personal
landeshauptkasse;2.1.1 pädagogisches Personal
debeka;2.1.1 pädagogisches Personal
swiss life;2.1.1 pädagogisches Personal
gehalt;2.1.1 pädagogisches Personal
lohn;2.1.1 pädagogisches Personal
bezüge;2.1.1 pädagogisches Personal
bezuege;2.1.1 pädagogisches Personal
sammel-ueberweisung;2.1.1 pädagogisches Personal
sammel-überweisung;2.1.1 pädagogisches Personal
techniker;2.1.1 pädagogisches Personal
hek;2.1.1 pädagogisches Personal
dak;2.1.1 pädagogisches Personal
hallesche;2.1.1 pädagogisches Personal
bgw;2.1.1 pädagogisches Personal
berufsgenossenschaft;2.1.1 pädagogisches Personal
andreas goris;2.3 Miete
gaßmann;2.3 Miete
gasmann;2.3 Miete
karl heinz;2.3 Miete
stadtwerke;2.4 Sachkosten
telekom;2.4 Sachkosten
putzstube;2.4 Sachkosten
waterlogic;2.4 Sachkosten
swertz;2.4 Sachkosten
unterbichler;2.4 Sachkosten
catering;2.4 Sachkosten
catetering;2.4 Sachkosten
kaufland;2.4 Sachkosten
bridge4it;2.4 Sachkosten
eduland;2.4 Sachkosten
bhu;2.4 Sachkosten
asd;2.4 Sachkosten
kück;2.4 Sachkosten
endres;2.4 Sachkosten
amazon;2.4 Sachkosten
verfers;2.4 Sachkosten
dusyma;2.4 Sachkosten
heicks;2.4 Sachkosten
kreativ kids;2.4 Sachkosten
teutenberg;2.4 Sachkosten
hermanns;2.4 Sachkosten
schlaszus;2.4 Sachkosten
brandt;2.4 Sachkosten
krampl;2.4 Sachkosten
paridienst;2.5 Verwaltungskosten
amtsgericht;2.5 Verwaltungskosten
notar;2.5 Verwaltungskosten
paritätische;2.5 Verwaltungskosten
elterninitiative;2.5 Verwaltungskosten
